Cell_ID,X,Y
176,849,493
177,1388,495
178,791,496
179,1470,496
180,873,499
181,1197,498
182,1731,499
183,71,500
184,830,499
185,1226,502
186,1289,500
187,83,501
188,485,509
189,1572,508
190,575,510
191,1197,512
192,1252,511
193,86,517
194,225,515
195,756,517
196,1758,517
197,1583,521
198,796,522
199,1721,521
200,569,531
201,1003,530
202,1572,531
203,762,534
204,833,533
205,887,535
206,1289,535
207,775,536
208,1493,538
209,1202,540
210,5,542
211,127,541
212,1226,539
213,1808,546
214,1288,549
215,761,547
216,1083,548
217,76,549
218,1417,552
219,573,551
220,590,553
221,1030,553
222,1375,553
223,12,554
224,1640,554
225,88,557
226,787,558
227,1186,557
228,1226,558
229,1656,560
230,2003,560
231,1711,565
232,192,569
233,1208,572
234,1261,573
235,917,573
236,774,576
237,1276,577
238,1103,576
239,118,580
240,813,579
241,510,581
242,576,580
243,1246,581
244,791,582
245,1050,582
246,1102,585
247,1121,585
248,868,586
249,1371,591
250,1240,595
251,574,596
252,1045,595
253,184,597
254,800,597
255,1499,597
256,1061,596
257,1734,599
258,714,604
259,1464,604
260,741,608
261,912,608
262,837,611
263,1571,611
264,1912,611
265,868,612
266,1086,613
267,880,619
268,1321,620
269,2034,620
270,549,622
271,717,623
272,805,627
273,1198,627
274,832,627
275,1720,632
276,928,632
277,1403,639
278,1589,641
279,1351,647
280,715,647
281,1079,649
282,976,648
283,817,650
284,1523,651
285,905,653
286,1399,654
287,748,654
288,547,656
289,944,655
290,36,657
291,822,659
292,674,660
293,748,663
294,1089,667
295,710,669
296,748,669
297,1563,672
298,798,672
299,1925,675
300,27,676
301,856,679
302,1308,682
303,962,683
304,1496,685
305,1456,686
306,897,687
307,1288,686
308,1046,688
309,479,690
310,1417,690
311,1521,692
312,802,699
313,1079,698
314,1096,698
315,872,702
316,934,704
317,487,706
318,753,710
319,1381,708
320,625,710
321,1061,710
322,798,711
323,971,712
324,906,711
325,1266,714
326,782,715
327,880,717
328,1317,718
329,1057,725
330,901,729
331,833,731
332,1069,737
333,589,737
334,1514,737
335,560,739
336,661,740
337,1033,740
338,525,742
339,918,742
340,1304,742
341,1383,742
342,785,745
343,1965,745
344,508,746
345,749,745
346,1431,747
347,883,749
348,1053,748
349,55,753
350,620,752
351,685,752
352,1196,754
353,1242,754
354,966,755
355,1328,758
356,803,759
357,899,762
358,1107,769
359,1479,770
360,725,770
361,1524,771
362,1435,772
363,633,776
364,1354,783
365,889,785
366,992,784
367,1496,786
368,1069,792
369,1427,793
370,1019,795
371,1107,796
372,1147,798
373,1178,798
374,1325,799
375,977,800
376,962,797
377,856,802
378,869,804
379,1599,805
380,1038,805
381,1538,807
382,781,811
383,941,819
384,1003,817
385,918,820
386,1168,822
387,672,825
388,1331,827
389,1117,828
390,1883,830
391,1192,830
392,635,835
393,930,835
394,1055,834
395,1020,840
396,1506,839
397,963,843
398,1218,842
399,860,843
400,588,844
401,717,844
402,1301,845
403,2006,846
404,607,847
405,375,850
406,767,849
407,897,852
408,919,852
409,1315,855
410,1169,857
411,1391,858
412,956,860
413,772,861
414,1141,863
415,1035,863
416,1980,863
417,1015,864
418,1540,867
419,1273,870
420,725,870
421,1158,871
422,939,873
423,1389,874
424,1979,874
425,789,875
426,1043,876
427,1477,877
428,745,880
429,1074,881
430,1216,881
431,921,882
432,774,881
433,1009,883
434,1108,884
435,1607,885
436,1391,887
437,878,887
438,765,888
439,1096,890
440,859,891
441,1312,891
442,723,899
443,1350,899
444,570,902
445,845,903
446,1469,902
447,1504,903
448,702,908
449,517,909
450,621,912
451,1035,914
452,1130,917
453,1015,915
454,1110,915
455,1065,916
456,874,918
457,905,918
458,1272,918
459,958,920
460,216,922
461,790,923
462,937,924
463,981,925
464,1503,927
465,1420,927
466,838,932
467,1488,932
468,1718,933
469,210,934
470,1112,933
471,1527,937
472,347,939
473,534,940
474,624,940
475,819,939
476,940,940
477,1918,941
478,380,942
479,1515,945
480,980,946
481,763,947
482,652,951
483,803,953
484,1403,954
485,1122,953
486,1548,954
487,850,957
488,920,958
489,678,959
490,881,964
491,1008,961
492,653,964
493,754,964
494,1539,964
495,488,971
496,1404,965
497,1925,967
498,1010,971
499,1748,969
500,1629,970
501,1247,972
502,1449,972
503,1072,973
504,1155,975
505,1087,976
506,1117,976
507,1805,976
508,1843,976
509,1413,976
510,769,978
511,821,977
512,806,978
513,1421,981
514,654,980
515,1297,981
516,393,981
517,1399,984
518,538,988
519,1050,989
520,607,990
521,922,991
522,971,990
523,1142,993
524,1573,994
525,1690,993
526,620,997
527,857,997
528,667,999
529,1011,998
530,1239,998
531,1510,999
532,1194,1000
533,610,1002
534,1412,1002
535,652,1000
536,993,1000
537,833,1004
538,1455,1004
539,629,1007
540,708,1005
541,1061,1008
542,1135,1007
543,1622,1008
544,1702,1011
545,1033,1008
546,253,1010
547,414,1012
548,1317,1013
549,879,1013
550,948,1014
551,633,1014
552,1253,1014
553,710,1014
554,1348,1025
555,1385,1014
556,1971,1018
557,1119,1019
558,1718,1020
559,700,1021
560,668,1018
561,320,1026
562,448,1024
563,1035,1023
564,1623,1028
565,1165,1029
566,1279,1029
567,1017,1029
568,1028,1030
569,1735,1031
